sample,cellline,sensitivity,group,treatment
Area[s1-1],HT29,C18-C16,Sensitive,Ctr
Area[s10-1],MDAMB231,C18,Sensitive,C18:0
Area[s100-1],H1650,Res,Resistant,C18:0
Area[s11-1],A549,Res,Resistant,Ctr
Area[s13-1],A549,Res,Resistant,C18:0+C18:1
Area[s15-1],A549,Res,Resistant,C18:0
Area[s16-1],Hct116,C18-C16,Sensitive,Ctr
Area[s18-1],Hct116,C18-C16,Sensitive,C18:0+C18:1
Area[s20-1],Hct116,C18-C16,Sensitive,C18:0
Area[s21-1],MCF10A,Res,Resistant,Ctr
Area[s23-1],MCF10A,Res,Resistant,C18:0+C18:1
Area[s25-1],MCF10A,Res,Resistant,C18:0
Area[s26-1],Hs578t,Res,Resistant,Ctr
Area[s28-1],Hs578t,Res,Resistant,C18:0+C18:1
Area[s3-1],HT29,C18-C16,Sensitive,C18:0+C18:1
Area[s30-1],Hs578t,Res,Resistant,C18:0
Area[s31-1],CaCo2,Res,Resistant,Ctr
Area[s33-1],CaCo2,Res,Resistant,C18:0+C18:1
Area[s35-1],CaCo2,Res,Resistant,C18:0
Area[s36-1],MDAMB453,C18-C16,Sensitive,Ctr
Area[s38-1],MDAMB453,C18-C16,Sensitive,C18:0+C18:1
Area[s40-1],MDAMB453,C18-C16,Sensitive,C18:0
Area[s40-2],MDAMB453,C18-C16,Sensitive,C18:0
Area[s41-1],DLD1,C18-C16,Sensitive,Ctr
Area[s43-1],DLD1,C18-C16,Sensitive,C18:0+C18:1
Area[s43-2],DLD1,C18-C16,Sensitive,C18:0+C18:1
Area[s45-1],DLD1,C18-C16,Sensitive,C18:0
Area[s46-1],H460,C18,Sensitive,Ctr
Area[s48-1],H460,C18,Sensitive,C18:0+C18:1
Area[s48-2],H460,C18,Sensitive,C18:0+C18:1
Area[s5-1],HT29,C18-C16,Sensitive,C18:0
Area[s50-1],H460,C18,Sensitive,C18:0
Area[s50-2],H460,C18,Sensitive,C18:0
Area[s51-1],OVCAR5,C18,Sensitive,Ctr
Area[s53-1],OVCAR5,C18,Sensitive,C18:0+C18:1
Area[s53-2],OVCAR5,C18,Sensitive,C18:0+C18:1
Area[s55-1],OVCAR5,C18,Sensitive,C18:0
Area[s55-2],OVCAR5,C18,Sensitive,C18:0
Area[s56-1],SKOV3,C18,Sensitive,Ctr
Area[s58-1],SKOV3,C18,Sensitive,C18:0+C18:1
Area[s58-2],SKOV3,C18,Sensitive,C18:0+C18:1
Area[s6-1],MDAMB231,C18,Sensitive,Ctr
Area[s60-1],SKOV3,C18,Sensitive,C18:0
Area[s61-1],OVCAR3,C18,Sensitive,Ctr
Area[s63-1],OVCAR3,C18,Sensitive,C18:0+C18:1
Area[s65-1],OVCAR3,C18,Sensitive,C18:0
Area[s66-1],HOSE,C18,Sensitive,Ctr
Area[s68-1],HOSE,C18,Sensitive,C18:0+C18:1
Area[s70-1],HOSE,C18,Sensitive,C18:0
Area[s71-1],MCF7,Res,Resistant,Ctr
Area[s73-1],MCF7,Res,Resistant,C18:0+C18:1
Area[s75-1],MCF7,Res,Resistant,C18:0
Area[s75-2],MCF7,Res,Resistant,C18:0
Area[s76-1],OVCAR8,C18,Sensitive,Ctr
Area[s78-1],OVCAR8,C18,Sensitive,C18:0+C18:1
Area[s8-1],MDAMB231,C18,Sensitive,C18:0+C18:1
Area[s80-1],OVCAR8,C18,Sensitive,C18:0
Area[s80-2],OVCAR8,C18,Sensitive,C18:0
Area[s81-1],LOVO,C18-C16,Sensitive,Ctr
Area[s83-1],LOVO,C18-C16,Sensitive,C18:0+C18:1
Area[s85-1],LOVO,C18-C16,Sensitive,C18:0
Area[s85-2],LOVO,C18-C16,Sensitive,C18:0
Area[s86-1],ES-2,C18,Sensitive,Ctr
Area[s88-1],ES-2,C18,Sensitive,C18:0+C18:1
Area[s90-1],ES-2,C18,Sensitive,C18:0
Area[s90-2],ES-2,C18,Sensitive,C18:0
Area[s91-1],H1299,Res,Resistant,Ctr
Area[s93-1],H1299,Res,Resistant,C18:0+C18:1
Area[s95-1],H1299,Res,Resistant,C18:0
Area[s96-1],H1650,Res,Resistant,Ctr
Area[s98-1],H1650,Res,Resistant,C18:0+C18:1
